,회사명,종목코드,업종,상장일,최근일 거래량
348,이수화학,005950,기초 화학물질 제조업,1988-04-28,200095.0
349,이스타코,015020,부동산 임대 및 공급업,1988-12-23,254690.0
350,인천도시가스,034590,연료용 가스 제조 및 배관공급업,2006-11-07,2992.0
351,일정실업,008500,편조원단 제조업,1994-08-12,19509.0
352,종근당,185750,의약품 제조업,2013-12-06,163433.0
353,종근당홀딩스,001630,의약품 제조업,1976-06-30,65640.0
354,지엠비코리아,013870,자동차 신품 부품 제조업,2012-11-20,728572.0
355,진원생명과학,011000,의약품 제조업,1987-11-16,6962319.0
356,케이씨텍,281820,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-12-05,210491.0
357,코리아써키트,007810,전자부품 제조업,1985-09-09,550002.0
358,코스모화학,005420,기타 화학제품 제조업,1987-07-23,610620.0
359,코아스,071950,가구 제조업,2005-08-04,466928.0
360,코오롱플라스틱,138490,합성고무 및 플라스틱 물질 제조업,2011-06-15,153171.0
361,쿠쿠홀딩스,192400,기타 금융업,2014-08-06,8766.0
362,큐로,015590,일반 목적용 기계 제조업,1989-05-27,1665192.0
363,티비에이치글로벌,084870,봉제의복 제조업,2005-12-19,171616.0
364,하이트론씨스템즈,019490,영상 및 음향기기 제조업,1998-11-04,22927.0
365,하이트진로,000080,알코올음료 제조업,2009-10-19,1443243.0
366,한국전자홀딩스,006200,기타 금융업,1979-11-30,41678.0
367,한국테크놀로지그룹,000240,기타 금융업,1968-12-27,91163.0
368,한국토지신탁,034830,신탁업 및 집합투자업,2016-07-11,766862.0
369,한국특수형강,007280,1차 철강 제조업,1989-11-13,179366.0
370,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업",2018-08-06,9280.0
371,한전KPS,051600,전기 및 통신 공사업,2007-12-14,165719.0
372,해태제과식품,101530,기타 식품 제조업,2016-05-11,67364.0
